1.835	1.919
1.721	1.780
1.536	1.532
1.306	1.230
1.111	1.127
1.015	1.096
0.981	1.048
0.970	1.075
1.061	1.225
1.480	1.664
1.659	1.776
1.526	1.452
1.340	1.257
1.142	0.963
0.914	0.827
0.854	0.770
0.719	0.648
0.548	0.526
0.481	0.550
0.544	0.594
0.707	0.834
1.155	1.344
1.455	1.433
1.351	1.307
1.263	1.184
1.135	0.973
0.996	0.843
0.913	0.823
0.754	0.656
0.571	0.529
0.503	0.517
0.538	0.588
0.654	0.757
0.932	1.167
1.209	1.403
1.278	1.383
1.228	1.243
1.140	1.150
1.028	0.999
0.945	0.947
0.876	0.911
0.780	0.827
0.687	0.804
0.641	0.805
0.842	1.108
1.209	1.445
1.373	1.583
1.534	1.616
1.448	1.518
1.479	1.558
1.478	1.499
1.432	1.418
1.290	1.192
1.187	1.120
1.113	1.108
1.262	1.283
1.333	1.387
1.443	1.530
1.595	1.704
1.546	1.572
1.587	1.709
1.666	1.718
1.604	1.559
1.517	1.464
1.452	1.332
1.279	1.247
1.178	1.106
1.118	1.060
1.136	1.149
1.296	1.351
1.597	1.716
1.751	1.914
1.799	1.889
1.764	1.850
1.696	1.730
1.616	1.584
1.392	1.338
1.211	1.135
1.082	0.989
0.949	0.881
0.921	0.900
0.994	1.006
1.163	1.206
1.403	1.465
1.578	1.547
1.579	1.493
1.504	1.362
1.414	1.319
1.323	1.243
1.259	1.188
1.208	1.190
1.116	1.050
1.070	1.065
1.114	1.126
1.275	1.320
1.424	1.527
1.639	1.771
1.759	1.784
1.714	1.674
1.599	1.526
1.458	1.298
1.283	1.118
1.108	0.956
0.973	0.859
0.858	0.777
0.816	0.722
0.795	0.749
0.811	0.787
1.049	1.038
1.277	1.324
1.354	1.315
1.319	1.229
1.189	1.030
1.099	0.988
1.040	0.888
0.974	0.813
0.822	0.717
0.695	0.629
0.679	0.667
0.716	0.734
0.893	0.897
1.165	1.200
1.408	1.429
1.462	1.424
1.401	1.266
1.300	1.147
1.170	1.039
1.050	0.901
0.896	0.753
0.737	0.630
0.620	0.558
0.590	0.534
0.607	0.570
0.698	0.691
0.970	1.012
1.259	1.174
1.230	1.092
1.111	0.982
1.003	0.793
0.889	0.702
0.829	0.631
0.730	0.523
0.586	0.398
0.497	0.349
0.526	0.412
0.690	0.611
0.845	0.810
0.823	0.789
0.806	0.840
0.777	0.802
0.673	0.740
0.666	0.730
0.741	0.725
0.752	0.656
0.755	0.558
0.657	0.485
0.649	0.494
0.692	0.541
0.785	0.692
1.087	1.058
1.208	1.257
1.302	1.202
1.237	1.061
1.148	0.930
1.034	0.858
0.979	0.788
0.840	0.648
0.634	0.507
0.551	0.485
0.584	0.528
0.665	0.604
0.901	0.976
1.303	1.433
1.355	1.336
1.273	1.249
1.272	1.168
1.115	0.978
1.052	0.896
0.898	0.715
0.685	0.500
0.520	0.401
0.623	0.553
0.561	0.458
0.463	0.338
0.373	0.206
0.264	0.154
0.286	0.179
0.405	0.343
0.618	0.617
0.630	0.653
0.629	0.614
0.685	0.653
0.871	0.885
1.062	1.003
1.143	1.035
1.065	0.873
0.795	0.620
0.620	0.510
0.594	0.568
0.688	0.687
0.956	1.085
1.323	1.441
1.329	1.308
1.206	1.148
1.098	1.035
1.044	0.955
1.029	0.980
0.980	0.900
0.779	0.666
0.554	0.484
0.484	0.463
0.533	0.531
0.643	0.758
1.011	1.104
1.014	0.971
0.926	0.941
0.685	0.884
0.844	0.955
0.818	0.936
0.777	0.924
0.776	0.719
0.603	0.535
0.528	0.507
